Ana_Deger_Kodu,Ana_Deger_Adi,Ana_Deger_Aciklamasi,Alt_Deger_Kodu,Alt_Deger_Adi,Davranis_Gostergesi_Kodu,Davranis_Gostergesi_Aciklamasi,Ogretim_Yontemleri
D2,AİLE BÜTÜNLÜĞÜ,"Aile içi iletişim ve iş birliğini güçlendirmeyi, ailede sorumlulukları yerine getirmeyi, aileyle vakit geçirmeyi; saygı, sevgi ve güvene dayalı ilişkiler kurmayı kapsar.",D2.1,Aile içi dayanışma göstermek,D2.1.1,Aile fertlerinin birbirine destek olması gerektiğini fark eder.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D2,AİLE BÜTÜNLÜĞÜ,"Aile içi iletişim ve iş birliğini güçlendirmeyi, ailede sorumlulukları yerine getirmeyi, aileyle vakit geçirmeyi; saygı, sevgi ve güvene dayalı ilişkiler kurmayı kapsar.",D2.1,Aile içi dayanışma göstermek,D2.1.2,Duygu ve düşüncelerini öğrendiği bilgileri ailesiyle paylaşmaya istekli olur.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D2,AİLE BÜTÜNLÜĞÜ,"Aile içi iletişim ve iş birliğini güçlendirmeyi, ailede sorumlulukları yerine getirmeyi, aileyle vakit geçirmeyi; saygı, sevgi ve güvene dayalı ilişkiler kurmayı kapsar.",D2.1,Aile içi dayanışma göstermek,D2.1.3,Aile üyelerinin sevinç ve üzüntülerini paylaşır.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D2,AİLE BÜTÜNLÜĞÜ,"Aile içi iletişim ve iş birliğini güçlendirmeyi, ailede sorumlulukları yerine getirmeyi, aileyle vakit geçirmeyi; saygı, sevgi ve güvene dayalı ilişkiler kurmayı kapsar.",D2.2,Aile içi iletişimi güçlendirmek,D2.2.1,Aile ilişkilerine önem verir.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D2,AİLE BÜTÜNLÜĞÜ,"Aile içi iletişim ve iş birliğini güçlendirmeyi, ailede sorumlulukları yerine getirmeyi, aileyle vakit geçirmeyi; saygı, sevgi ve güvene dayalı ilişkiler kurmayı kapsar.",D2.2,Aile içi iletişimi güçlendirmek,D2.2.2,Aile içi etkili iletişimin sağlayacağı yararları fark eder.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D2,AİLE BÜTÜNLÜĞÜ,"Aile içi iletişim ve iş birliğini güçlendirmeyi, ailede sorumlulukları yerine getirmeyi, aileyle vakit geçirmeyi; saygı, sevgi ve güvene dayalı ilişkiler kurmayı kapsar.",D2.2,Aile içi iletişimi güçlendirmek,D2.2.3,Anne baba ve aile büyüklerine hürmet gösterir.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D2,AİLE BÜTÜNLÜĞÜ,"Aile içi iletişim ve iş birliğini güçlendirmeyi, ailede sorumlulukları yerine getirmeyi, aileyle vakit geçirmeyi; saygı, sevgi ve güvene dayalı ilişkiler kurmayı kapsar.",D2.2,Aile içi iletişimi güçlendirmek,D2.2.4,Aileyle ilgili kararlarda kendisinin de görüşlerinin alınması gerektiğini fark eder.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D2,AİLE BÜTÜNLÜĞÜ,"Aile içi iletişim ve iş birliğini güçlendirmeyi, ailede sorumlulukları yerine getirmeyi, aileyle vakit geçirmeyi; saygı, sevgi ve güvene dayalı ilişkiler kurmayı kapsar.",D2.3,Aile içi sorumluluklarını yerine getirmek,D2.3.1,Aile içinde iş birliği yapmanın önemini fark eder.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D2,AİLE BÜTÜNLÜĞÜ,"Aile içi iletişim ve iş birliğini güçlendirmeyi, ailede sorumlulukları yerine getirmeyi, aileyle vakit geçirmeyi; saygı, sevgi ve güvene dayalı ilişkiler kurmayı kapsar.",D2.3,Aile içi sorumluluklarını yerine getirmek,D2.3.2,Aile içi görevleri yerine getirmenin önemini fark eder.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D2,AİLE BÜTÜNLÜĞÜ,"Aile içi iletişim ve iş birliğini güçlendirmeyi, ailede sorumlulukları yerine getirmeyi, aileyle vakit geçirmeyi; saygı, sevgi ve güvene dayalı ilişkiler kurmayı kapsar.",D2.3,Aile içi sorumluluklarını yerine getirmek,D2.3.3,Aile içindeki görev ve sorumluluklarını en iyi şekilde ve zamanında yapmaya özen gösterir.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D3,ÇALIŞKANLIK,"Disiplinli, planlı ve istikrarlı olmayı; bilimselliğe önem vermeyi, iç motivasyon ve öz denetim sahibi olmayı, hayat boyu öğrenmeyi, görev ve sorumluluk üstlenmeyi kapsar.",D3.1,Azimli olmak,D3.1.1,Gayretli olmanın hedeflere ulaşma üzerindeki etkisini fark eder.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D3,ÇALIŞKANLIK,"Disiplinli, planlı ve istikrarlı olmayı; bilimselliğe önem vermeyi, iç motivasyon ve öz denetim sahibi olmayı, hayat boyu öğrenmeyi, görev ve sorumluluk üstlenmeyi kapsar.",D3.1,Azimli olmak,D3.1.2,Zorlukları aşmak için çaba gösterir.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D3,ÇALIŞKANLIK,"Disiplinli, planlı ve istikrarlı olmayı; bilimselliğe önem vermeyi, iç motivasyon ve öz denetim sahibi olmayı, hayat boyu öğrenmeyi, görev ve sorumluluk üstlenmeyi kapsar.",D3.2,Planlı olmak,D3.2.1,Görev ve sorumlulukları yerine getirmek için planlama yapar.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D3,ÇALIŞKANLIK,"Disiplinli, planlı ve istikrarlı olmayı; bilimselliğe önem vermeyi, iç motivasyon ve öz denetim sahibi olmayı, hayat boyu öğrenmeyi, görev ve sorumluluk üstlenmeyi kapsar.",D3.2,Planlı olmak,D3.2.2,Hedeflere ulaşmak için hazırladığı planı uygular.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D3,ÇALIŞKANLIK,"Disiplinli, planlı ve istikrarlı olmayı; bilimselliğe önem vermeyi, iç motivasyon ve öz denetim sahibi olmayı, hayat boyu öğrenmeyi, görev ve sorumluluk üstlenmeyi kapsar.",D3.2,Planlı olmak,D3.2.3,Zamanı etkili yönetmenin önemini fark eder.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D3,ÇALIŞKANLIK,"Disiplinli, planlı ve istikrarlı olmayı; bilimselliğe önem vermeyi, iç motivasyon ve öz denetim sahibi olmayı, hayat boyu öğrenmeyi, görev ve sorumluluk üstlenmeyi kapsar.",D3.3,Araştırmacı ve sorgulayıcı olmak,D3.3.1,Yaratıcılığını geliştirecek faaliyetlere katılır.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D3,ÇALIŞKANLIK,"Disiplinli, planlı ve istikrarlı olmayı; bilimselliğe önem vermeyi, iç motivasyon ve öz denetim sahibi olmayı, hayat boyu öğrenmeyi, görev ve sorumluluk üstlenmeyi kapsar.",D3.3,Araştırmacı ve sorgulayıcı olmak,D3.3.2,Çeşitli fikir argüman ve yeni bilgilere açık olur.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D3,ÇALIŞKANLIK,"Disiplinli, planlı ve istikrarlı olmayı; bilimselliğe önem vermeyi, iç motivasyon ve öz denetim sahibi olmayı, hayat boyu öğrenmeyi, görev ve sorumluluk üstlenmeyi kapsar.",D3.3,Araştırmacı ve sorgulayıcı olmak,D3.3.3,Bilimsel teknolojik alanlardaki gelişmelerle ilgili etkinliklere katılmaya istekli olur.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D3,ÇALIŞKANLIK,"Disiplinli, planlı ve istikrarlı olmayı; bilimselliğe önem vermeyi, iç motivasyon ve öz denetim sahibi olmayı, hayat boyu öğrenmeyi, görev ve sorumluluk üstlenmeyi kapsar.",D3.4,Çalışmalarda aktif rol almak,D3.4.1,Grupla çalışma becerisi sergiler.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D3,ÇALIŞKANLIK,"Disiplinli, planlı ve istikrarlı olmayı; bilimselliğe önem vermeyi, iç motivasyon ve öz denetim sahibi olmayı, hayat boyu öğrenmeyi, görev ve sorumluluk üstlenmeyi kapsar.",D3.4,Çalışmalarda aktif rol almak,D3.4.2,Sosyal sorumluluk ve toplum hizmeti çalışmalarında aktif görev alır.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D3,ÇALIŞKANLIK,"Disiplinli, planlı ve istikrarlı olmayı; bilimselliğe önem vermeyi, iç motivasyon ve öz denetim sahibi olmayı, hayat boyu öğrenmeyi, görev ve sorumluluk üstlenmeyi kapsar.",D3.4,Çalışmalarda aktif rol almak,D3.4.3,Kendine uygun görevleri almaya istekli olur.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D3,ÇALIŞKANLIK,"Disiplinli, planlı ve istikrarlı olmayı; bilimselliğe önem vermeyi, iç motivasyon ve öz denetim sahibi olmayı, hayat boyu öğrenmeyi, görev ve sorumluluk üstlenmeyi kapsar.",D3.4,Çalışmalarda aktif rol almak,D3.4.4,Kişisel ve grup içi etkinliklerde sorumluluklarını yerine getirir.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D4,DOSTLUK,"Sosyal ilişkilerde duyarlılık göstermeyi dayanışma içinde olmayı; etkili iletişimle sevgi, saygı ve güvene dayalı ilişkiler kurmayı; nitelikli vakit geçirmeyi ve evrensel bağ kurmayı kapsar.",D4.1,Arkadaşlarına destek olmak,D4.1.1,İyi ve kötü zamanlarında arkadaşlarına destek olur.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D4,DOSTLUK,"Sosyal ilişkilerde duyarlılık göstermeyi dayanışma içinde olmayı; etkili iletişimle sevgi, saygı ve güvene dayalı ilişkiler kurmayı; nitelikli vakit geçirmeyi ve evrensel bağ kurmayı kapsar.",D4.1,Arkadaşlarına destek olmak,D4.1.2,Arkadaşlarının sorunlarını çözmek için çaba gösterir.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D4,DOSTLUK,"Sosyal ilişkilerde duyarlılık göstermeyi dayanışma içinde olmayı; etkili iletişimle sevgi, saygı ve güvene dayalı ilişkiler kurmayı; nitelikli vakit geçirmeyi ve evrensel bağ kurmayı kapsar.",D4.1,Arkadaşlarına destek olmak,D4.1.3,Ortak hedeflere ulaşmak için arkadaşlarıyla dayanışma içinde olur.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D4,DOSTLUK,"Sosyal ilişkilerde duyarlılık göstermeyi dayanışma içinde olmayı; etkili iletişimle sevgi, saygı ve güvene dayalı ilişkiler kurmayı; nitelikli vakit geçirmeyi ve evrensel bağ kurmayı kapsar.",D4.1,Arkadaşlarına destek olmak,D4.1.4,İhtiyaç duyduğunda arkadaşlarından yardım ister.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D4,DOSTLUK,"Sosyal ilişkilerde duyarlılık göstermeyi dayanışma içinde olmayı; etkili iletişimle sevgi, saygı ve güvene dayalı ilişkiler kurmayı; nitelikli vakit geçirmeyi ve evrensel bağ kurmayı kapsar.",D4.2,Arkadaşları ile etkili iletişim kurmak,D4.2.1,Arkadaşlarını etkin bir şekilde dinler.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D4,DOSTLUK,"Sosyal ilişkilerde duyarlılık göstermeyi dayanışma içinde olmayı; etkili iletişimle sevgi, saygı ve güvene dayalı ilişkiler kurmayı; nitelikli vakit geçirmeyi ve evrensel bağ kurmayı kapsar.",D4.2,Arkadaşları ile etkili iletişim kurmak,D4.2.2,Arkadaşlarıyla duygu ve düşüncelerini paylaşır.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
