Surec_Bileseni_Kodu,Surec_Bileseni_Adi,Gosterge_Kodu,Gosterge_Aciklamasi
SDB2.3.SB3,Başkalarına karşı anlayış geliştirerek saygı göstermek,SDB2.3.SB3.G5,Farklılıklarla ilgili değerleri savunur.
SDB2.3.SB4,Toplumsal normlar hakkında bir anlayış geliştirmek,SDB2.3.SB4.G1,Okulunun yaşadığı toplumun veya dünyanın bir ihtiyacını/sorununu keşfeder.
SDB2.3.SB4,Toplumsal normlar hakkında bir anlayış geliştirmek,SDB2.3.SB4.G2,Topluma olumlu katkıda bulunmak için çabalar.
SDB2.3.SB4,Toplumsal normlar hakkında bir anlayış geliştirmek,SDB2.3.SB4.G3,Kendi ülkesinin miras ve varlıklarını koruma etkinliklerine katılır.
SDB2.3.SB4,Toplumsal normlar hakkında bir anlayış geliştirmek,SDB2.3.SB4.G4,Farklı kültürel miras ve varlıklarını koruma etkinliklerine katılır.
SDB3.1.SB1,Yeni değişen ve belirsiz durumları anlamak,SDB3.1.SB1.G1,Yeni belirsiz veya değişen durumlarla karşılaşmanın doğal olduğunu fark eder.
SDB3.1.SB1,Yeni değişen ve belirsiz durumları anlamak,SDB3.1.SB1.G2,Yeni belirsiz veya değişen durumların gerektirdiği değişim ihtiyacını fark eder.
SDB3.1.SB2,Yeni değişen ve belirsiz durumlar karşısında değişime açık ve istekli olmak,SDB3.1.SB2.G1,Yeni bakış açılarını öğrenmeye istekli olur.
SDB3.1.SB2,Yeni değişen ve belirsiz durumlar karşısında değişime açık ve istekli olmak,SDB3.1.SB2.G2,Yeni belirsiz veya değişen durumlarda esnek bir tutum benimsemeye gayret eder.
SDB3.1.SB3,Yeni değişen ve belirsiz durumlarla başa çıkmak için düşünce biçimini ayarlamak,SDB3.1.SB3.G1,Yeni bir durum hakkında düşünme şeklini gözden geçirir.
SDB3.1.SB4,Yeni değişen ve belirsiz durumlarda davranış veya eylemin doğasını seviyesini ve derecesini ayarlamak,SDB3.1.SB4.G1,Yeni bir durumla karşılaştığında uyum sağlamak için gerektiğinde davranışlarını düzenler.
SDB3.1.SB4,Yeni değişen ve belirsiz durumlarda davranış veya eylemin doğasını seviyesini ve derecesini ayarlamak,SDB3.1.SB4.G2,Kendisi için heyecan ya da kaygı yaratan durumları söyler.
SDB3.1.SB4,Yeni değişen ve belirsiz durumlarda davranış veya eylemin doğasını seviyesini ve derecesini ayarlamak,SDB3.1.SB4.G3,Kaygı oluşturan durumlarda kendini sakinleştirmenin yollarını bulur.
SDB3.1.SB5,Yeni değişen ve belirsiz bir çevreyle başarılı bir şekilde etkileşime geçmek için duygusal tepkileri ayarlamak,SDB3.1.SB5.G1,Yeni belirsiz veya değişen durumlar karşısında ortaya çıkan duygularını fark eder.
SDB3.1.SB5,Yeni değişen ve belirsiz bir çevreyle başarılı bir şekilde etkileşime geçmek için duygusal tepkileri ayarlamak,SDB3.1.SB5.G2,Yeni belirsiz veya değişen durumlarda kendisine yardımcı olması için olumlu duygulardan yararlanır.
SDB3.2.SB1,Zor durumlara farklı çözümler bulmak,SDB3.2.SB1.G1,Zor durumlarla karşılaşmanın doğal olduğunu fark eder.
SDB3.2.SB1,Zor durumlara farklı çözümler bulmak,SDB3.2.SB1.G2,Zor durumlarla baş edebilmek için farklı seçenekler olabileceğini fark eder.
SDB3.2.SB1,Zor durumlara farklı çözümler bulmak,SDB3.2.SB1.G3,Zor durumlarla karşılaştığı zaman olası çözümleri fark eder.
SDB3.2.SB1,Zor durumlara farklı çözümler bulmak,SDB3.2.SB1.G4,Zor durumlarla karşı karşıya kaldığında gerektiğinde yardım ister.
SDB3.2.SB2,Yeni durumlara uyum sağlamak,SDB3.2.SB2.G1,Yeni bir durumla karşılaştığında alternatif çözüm yolları bulur.
SDB3.2.SB2,Yeni durumlara uyum sağlamak,SDB3.2.SB2.G2,Bulduğu çözüm yollarından duruma en uygun olanı seçer.
SDB3.2.SB2,Yeni durumlara uyum sağlamak,SDB3.2.SB2.G3,Seçmiş olduğu çözüm yolunu uygular.
SDB3.3.SB1,Problemleri tanımlayıp çözmek,SDB3.3.SB1.G1,Karşılaştığı problemi tanımlar.
SDB3.3.SB1,Problemleri tanımlayıp çözmek,SDB3.3.SB1.G2,Problem ile ilgili sorular sorar.
SDB3.3.SB1,Problemleri tanımlayıp çözmek,SDB3.3.SB1.G3,Çözüm yollarını dener.
SDB3.3.SB2,Eylemlerinin sonuçlarını öngörmek,SDB3.3.SB2.G1,Eylemlerinin olası sonuçlarını fark eder.
SDB3.3.SB2,Eylemlerinin sonuçlarını öngörmek,SDB3.3.SB2.G2,Olumlu-olumsuz sonuçları görerek sorumluluk üstlenir.
SDB3.3.SB2,Eylemlerinin sonuçlarını öngörmek,SDB3.3.SB2.G3,Hatasını kabul ederek ifade eder.
SDB3.3.SB2,Eylemlerinin sonuçlarını öngörmek,SDB3.3.SB2.G4,Hatasını telafi edecek alternatif çözüm yolları arar.
SDB3.3.SB3,Gerekçeli yargıda bulunmak,SDB3.3.SB3.G1,Görüşlerinin nedenlerini açıklar.
SDB3.3.SB3,Gerekçeli yargıda bulunmak,SDB3.3.SB3.G2,Görüşlerini açıklarken neden-sonuç ilişkisi kurar.
SDB3.3.SB4,Alınan kararların ahlaki olarak uygunluğunu değerlendirmek,SDB3.3.SB4.G1,Kararlarının sorumluluğunu üstlenir.
SDB3.3.SB5,Derinlemesine düşünmek,SDB3.3.SB5.G1,Düşüncelerinin olası olumlu ve olumsuz sonuçlarını inceler.
SDB3.3.SB5,Derinlemesine düşünmek,SDB3.3.SB5.G2,Düşünce ve davranışlarının nedenlerini sorgular.
